year,month,total,min,max
2000, 1, 0.00, 0.0, 0.0
2000, 2, 0.00, 0.0, 0.0
2000, 3, 0.00, 0.0, 0.0
2000, 4, 0.00, 0.0, 0.0
2000, 5, 0.00, 0.0, 0.0
2000, 6, 0.00, 0.0, 0.0
2000, 7, 0.00, 0.0, 0.0
2000, 8, 0.00, 0.0, 0.0
2000, 9, 0.00, 0.0, 0.0
2000, 10, 0.00, 0.0, 0.0
2000, 11, 0.00, 0.0, 0.0
2000, 12, 554.00, 0.0, 178.0
2001, 1, 329.00, 0.0, 118.0
2001, 2, 1106.00, 0.0, 188.0
2001, 3, 250.00, 0.0, 56.0
2001, 4, 319.00, 0.0, 96.0
2001, 5, 7.00, 0.0, 4.0
2001, 6, 180.00, 0.0, 23.0
2001, 7, 4.00, 0.0, 3.0
2001, 8, 21.00, 0.0, 8.0
2001, 9, 56.00, 0.0, 21.0
2001, 10, 28.00, 0.0, 13.0
2001, 11, 136.00, 0.0, 70.0
2001, 12, 61.00, 0.0, 39.0
2002, 1, 184.00, 0.0, 40.0
2002, 2, 31.00, 0.0, 20.0
2002, 3, 63.00, 0.0, 10.0
2002, 4, 210.00, 0.0, 41.0
2002, 5, 125.00, 0.0, 24.0
2002, 6, 1.00, 0.0, 1.0
2002, 7, 0.00, 0.0, 0.0
2002, 8, 0.00, 0.0, 0.0
2002, 9, 11.00, 0.0, 11.0
2002, 10, 0.00, 0.0, 0.0
2002, 11, 25.00, 0.0, 8.0
2002, 12, 197.00, 0.0, 123.0
2003, 1, 392.00, 0.0, 192.0
2003, 2, 236.00, 0.0, 42.0
2003, 3, 217.00, 0.0, 81.0
2003, 4, 261.00, 0.0, 109.0
2003, 5, 175.00, 0.0, 43.0
2003, 6, 89.00, 0.0, 29.0
2003, 7, 86.00, 0.0, 19.0
2003, 8, 35.00, 0.0, 13.0
2003, 9, 8.00, 0.0, 4.0
2003, 10, 7.00, 0.0, 4.0
2003, 11, 45.00, 0.0, 16.0
2003, 12, 284.00, 0.0, 53.0
2004, 1, 332.00, 0.0, 128.0
2004, 2, 767.00, 0.0, 142.0
2004, 3, 1249.00, 0.0, 256.0
2004, 4, 451.00, 0.0, 106.0
2004, 5, 70.00, 0.0, 25.0
2004, 6, 86.00, 0.0, 26.0
2004, 7, 100.00, 0.0, 38.0
2004, 8, 4.00, 0.0, 1.0
2004, 9, 33.00, 0.0, 16.0
2004, 10, 36.00, 0.0, 16.0
2004, 11, 84.00, 0.0, 40.0
2004, 12, 188.00, 0.0, 76.0
2005, 1, 517.00, 0.0, 125.0
2005, 2, 248.60, 0.0, 127.0
2005, 3, 516.00, 0.0, 324.0
2005, 4, 311.00, 0.0, 51.0
2005, 5, 38.00, 0.0, 12.0
2005, 6, 77.00, 0.0, 18.0
2005, 7, 175.00, 0.0, 38.0
2005, 8, 149.00, 0.0, 23.0
2005, 9, 11.00, 0.0, 7.0
2005, 10, 15.00, 0.0, 6.0
2005, 11, 39.00, 0.0, 12.0
2005, 12, 48.00, 0.0, 27.0
2006, 1, 504.00, 0.0, 109.0
2006, 2, 313.00, 0.0, 118.0
2006, 3, 708.00, 0.0, 165.0
2006, 4, 861.00, 0.0, 340.0
2006, 5, 93.00, 0.0, 36.0
2006, 6, 169.00, 0.0, 69.0
2006, 7, 145.00, 0.0, 31.0
2006, 8, 29.00, 0.0, 10.0
2006, 9, 131.00, 0.0, 54.0
2006, 10, 145.00, 0.0, 41.0
2006, 11, 38.00, 0.0, 14.0
2006, 12, 129.00, 0.0, 25.0
2007, 1, 282.00, 0.0, 73.0
2007, 2, 804.00, 0.0, 124.0
2007, 3, 348.00, 0.0, 117.0
2007, 4, 121.00, 0.0, 25.0
2007, 5, 149.00, 0.0, 28.0
2007, 6, 103.00, 0.0, 30.0
2007, 7, 45.00, 0.0, 17.0
2007, 8, 40.00, 0.0, 8.0
2007, 9, 7.00, 0.0, 3.0
2007, 10, 89.00, 0.0, 48.0
2007, 11, 100.00, 0.0, 19.0
2007, 12, 218.00, 0.0, 80.0
2008, 1, 581.00, 0.0, 231.0
2008, 2, 557.00, 0.0, 91.0
